OBJECTID,NOM,CODCOMM,CCOCOM,SURF_HA,CCODEP
74,TOMBLAINE,540526,526,560, 
75,SAULXURES,540495,495,720, 
84,VANDOEUVRE,540547,547,940, 
85,LUDRES,540328,328,820, 
69,DOMMARTEMONT,540165,165,130, 
70,SAINT MAX,540482,482,180, 
71,ESSEY,540184,184,570, 
72,SEICHAMPS,540498,498,430, 
73,PULNOY,540439,439,370, 
77,JARVILLE,540274,274,240, 
78,LANEUVEVILLE,540300,300,1250, 
79,ART SUR MEURTHE,540025,025,1160, 
83,HEILLECOURT,540257,257,370, 
86,FLEVILLE,540197,197,740, 
80,LAXOU,540304,304,1590, 
81,VILLERS,540578,578,1000, 
87,MALZEVILLE,540339,339,760, 
82,HOUDEMONT,540265,265,370, 
76,NANCY,540395,395,1490, 
88,MAXEVILLE,540357,357,560, 
